ID	ploidy	gainSeg	totalGain	lossSeg	totalLoss	file	date
BLM	1	0	0	1	20049728	blm-1-single-f5-r4-c7_S28_.trimmed.mdup.bam	2021-01-18
BLM	1	1	27533574	0	0	blm-1-single-f6-r6-c4_S88_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	3	73318556	0	0	blm-recq5-1-single-f15-r7-c6_S538_.trimmed.mdup.bam	2021-01-18
BLM	1	2	62767588	0	0	blm-1-single-c10-w34_.trimmed.mdup.bam	2020-08-28
BLM	1	1	29068524	0	0	blm-1-single-c10-w19_.trimmed.mdup.bam	2020-08-28
BLM	1	1	27533574	0	0	blm-1-single-f7-r5-c2_S128_.trimmed.mdup.bam	2021-01-18
BLM	1	0	0	1	89194380	blm-1-single-c9-w40_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	0	0	1	89419265	blm-recq5-1-single-f14-r2-c6_S454_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f16-r1-c6_S545_.trimmed.mdup.bam	2021-01-18
BLM	1	2	41700388	1	20307860	blm-1-single-c10-w38_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	0	0	0	0	blm_recq5-2-single-c15-w41_.trimmed.mdup.bam	2020-08-28
RECQL5	1	0	0	0	0	recq5-2-single-f11-r5-c7_S329_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	3	74241227	0	0	blm-recq5-1-single-f15-r1-c6_S496_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	52780915	0	0	blm-recq5-2-single-f16-r2-c4_S550_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	40043471	0	0	blm-recq5-2-single-f16-r4-c2_S562_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f15-r2-c2_S499_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f16-r4-c6_S566_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f16-r4-c1_S561_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm_recq5-2-single-c16-w32_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f15-r6-c4_S529_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm_recq5-2-single-c16-w38_.trimmed.mdup.bam	2020-08-28
BLM	1	0	0	0	0	blm-1-single-f6-r1-c1_S50_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	2	41125225	0	0	blm-recq5-2-single-f16-r4-c3_S563_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	20148492	0	0	blm_recq5-2-single-c16-w40_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	0	0	0	0	blm_recq5-2-single-c16-w42_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f14-r3-c4_S459_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f12-r2-c3_S353_.trimmed.mdup.bam	2021-01-18
RECQL5	1	0	0	0	0	recq5-2-single-f10-r5-c3_S276_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f8-r6-c1_S183_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	1	55619232	blm-recq5-2-single-f16-r1-c3_S542_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	2	74063864	blm-recq5-2-single-f16-r1-c7_S546_.trimmed.mdup.bam	2021-01-18
BLM	1	2	56613628	0	0	blm-1-single-f7-r4-c4_S123_.trimmed.mdup.bam	2021-01-18
BLM	1	1	27145048	0	0	blm-1-single-f7-r5-c5_S131_.trimmed.mdup.bam	2021-01-18
BLM	1	1	21935020	0	0	blm-1-single-c10-w30_.trimmed.mdup.bam	2020-08-28
BLM	1	0	0	0	0	blm-1-single-c9-w42_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f16-r1-c2_S541_.trimmed.mdup.bam	2021-01-18
RECQL5	1	0	0	0	0	recq5-2-single-f11-r2-c4_S305_.trimmed.mdup.bam	2021-01-18
RECQL5	1	1	31548655	0	0	recq5-2-single-f11-r5-c5_S327_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f15-r6-c1_S526_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	21348624	0	0	blm-recq5-2-single-f16-r6-c5_S579_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	21935020	0	0	blm_recq5-2-single-c15-w17_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	0	0	1	47413682	blm-recq5-1-single-f15-r3-c6_S510_.trimmed.mdup.bam	2021-01-18
BLM	1	1	27533574	0	0	blm-1-single-f5-r1-c3_S3_.trimmed.mdup.bam	2021-01-18
BLM	1	1	29068524	0	0	blm-1-single-f7-r4-c3_S122_.trimmed.mdup.bam	2021-01-18
BLM	1	1	27533574	0	0	blm-1-single-f7-r6-c4_S137_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f16-r6-c3_S577_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f16-r2-c7_S553_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f16-r1-c4_S543_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f14-r6-c1_S477_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	23025322	0	0	blm-recq5-2-single-f16-r3-c1_S554_.trimmed.mdup.bam	2021-01-18
RECQL5	1	0	0	0	0	recq5-2-single-f11-r5-c6_S328_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f16-r7-c4_S585_.trimmed.mdup.bam	2021-01-18
RECQL5	1	0	0	0	0	recq5-2-single-f11-r4-c3_S318_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f12-r2-c7_S357_.trimmed.mdup.bam	2021-01-18
RECQL5	1	0	0	0	0	recq5-2-single-f11-r2-c5_S306_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm_recq5-2-single-c16-w34_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	2	42718294	0	0	blm_recq5-2-single-c16-w45_.trimmed.mdup.bam	2020-08-28
BLM	1	3	83580709	1	63742703	blm-1-single-c9-w33_.trimmed.mdup.bam	2020-08-28
BLM	1	2	54960947	1	155984735	blm-1-single-c9-w44_.trimmed.mdup.bam	2020-08-28
BLM	1	2	66571450	0	0	blm-1-single-c9-w31_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	3	128084047	0	0	blm-recq5-1-single-f14-r1-c1_S442_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	2	130601383	0	0	blm-recq5-1-single-f15-r7-c1_S533_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	2	78867904	1	89316804	blm-recq5-1-single-f14-r1-c4_S445_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	2	56627094	1	88959104	blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam	2021-01-18
BLM	1	1	27430604	0	0	blm-1-single-c9-w15_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	0	0	0	0	blm_recq5-2-single-c16-w15_.trimmed.mdup.bam	2020-08-28
BLM	1	3	109905542	0	0	blm-1-single-c10-w41_.trimmed.mdup.bam	2020-08-28
BLM	1	2	84030218	0	0	blm-1-single-f7-r6-c3_S136_.trimmed.mdup.bam	2021-01-18
