ID	TD	ploidy	td_sum	file	norm	norm_td	name
WT	26	1	393373388	fucci-wt-single-f11-r5-c7_S133_.trimmed.mdup.bam	393373388	26	HMM
WT	29	1	348266253	fucci-wt-single-f7-r2-c4_S11_.trimmed.mdup.bam	348266253	29	HMM
WT	36	1	369656507	fucci-wt-single-f7-r3-c5_S19_.trimmed.mdup.bam	369656507	36	HMM
WT	39	1	395948896	fucci-wt-single-f7-r7-c4_S46_.trimmed.mdup.bam	395948896	39	HMM
WT	40	1	407072928	fucci-wt-single-f11-r5-c3_S129_.trimmed.mdup.bam	407072928	40	HMM
RECQL5	50	1	415678692	recq5-2-single-f10-r5-c3_S276_.trimmed.mdup.bam	415678692	50	HMM
BLM/RECQL5	44	1	397613877	blm-recq5-1-single-f14-r6-c1_S477_.trimmed.mdup.bam	397613877	44	HMM
WT	44	1	407462531	fucci-wt-single-f7-r6-c3_S38_.trimmed.mdup.bam	407462531	44	HMM
BLM/RECQL5	15	1	331598647	blm_recq5-2-single-c15-w41_.trimmed.mdup.bam	331598647	15	HMM
BLM/RECQL5	32	1	352215350	blm_recq5-2-single-c16-w21_.trimmed.mdup.bam	352215350	32	HMM
BLM/RECQL5	25	1	405013878	blm_recq5-2-single-c16-w40_.trimmed.mdup.bam	405013878	25	HMM
BLM/RECQL5	32	1	385681938	blm_recq5-2-single-c16-w34_.trimmed.mdup.bam	385681938	32	HMM
BLM/RECQL5	23	1	400573139	blm_recq5-2-single-c16-w33_.trimmed.mdup.bam	400573139	23	HMM
BLM/RECQL5	41	1	428320695	blm-recq5-1-single-c11-w11-3d6_S405_.trimmed.mdup.bam	428320695	41	HMM
WT	37	1	403842333	fucci-wt-single-f11-r4-c5_S124_.trimmed.mdup.bam	403842333	37	HMM
BLM/RECQL5	36	1	408830451	blm_recq5-2-single-c16-w26_.trimmed.mdup.bam	408830451	36	HMM
WT	45	1	416586175	fucci-wt-single-f8-r2-c4_S60_.trimmed.mdup.bam	416586175	45	HMM
WT	34	1	442065059	wt-fucci-single-c15-w45-3d6_S611_.trimmed.mdup.bam	442065059	34	HMM
BLM/RECQL5	32	1	436158810	blm_recq5-2-single-c16-w28_.trimmed.mdup.bam	436158810	32	HMM
RECQL5	20	1	385176129	recq5-2-single-c11-w9_.trimmed.mdup.bam	385176129	20	HMM
BLM/RECQL5	40	1	430644474	blm-recq5-2-single-f16-r1-c4_S543_.trimmed.mdup.bam	430644474	40	HMM
BLM/RECQL5	50	1	412668626	blm-recq5-2-single-f12-r1-c1_S344_.trimmed.mdup.bam	412668626	50	HMM
RECQL5	87	1	409212597	recq5-2-single-f11-r3-c2_S310_.trimmed.mdup.bam	409212597	87	HMM
BLM/RECQL5	45	1	429247863	blm-recq5-1-single-c7-w14-3d6_S212_.trimmed.mdup.bam	429247863	45	HMM
BLM/RECQL5	30	1	395279718	blm-recq5-1-single-f15-r2-c2_S499_.trimmed.mdup.bam	395279718	30	HMM
BLM/RECQL5	51	1	371828156	blm-recq5-1-single-f14-r4-c4_S466_.trimmed.mdup.bam	371828156	51	HMM
BLM/RECQL5	22	1	369614690	blm_recq5-2-single-c16-w19_.trimmed.mdup.bam	369614690	22	HMM
BLM/RECQL5	27	1	390013109	blm_recq5-2-single-c16-w6_.trimmed.mdup.bam	390013109	27	HMM
BLM/RECQL5	32	1	377281184	blm_recq5-2-single-c16-w38_.trimmed.mdup.bam	377281184	32	HMM
