ID	TD	ploidy	td_sum	file	norm_td	norm
WT	11	1	393809989	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam	11	393809989
RECQL5	14	1	355653684	recq5-2-single-f11-r4-c5_S320_.trimmed.mdup.bam	14	355653684
BLM/RECQL5	17	1	358282488	blm-recq5-2-single-f16-r2-c6_S552_.trimmed.mdup.bam	17	358282488
WT	10	1	352162925	fucci-wt-single-f7-r3-c5_S19_.trimmed.mdup.bam	10	352162925
RECQL5	10	1	350670551	recq5-2-single-f11-r2-c4_S305_.trimmed.mdup.bam	10	350670551
BLM/RECQL5	13	1	353832915	blm-recq5-2-single-f12-r2-c4_S354_.trimmed.mdup.bam	13	353832915
RECQL5	12	1	352078634	recq5-2-single-f11-r3-c6_S314_.trimmed.mdup.bam	12	352078634
BLM/RECQL5	15	1	332351691	blm-recq5-2-single-f12-r1-c3_S346_.trimmed.mdup.bam	15	332351691
WT	12	1	371438948	fucci-wt-single-f8-r4-c4_S74_.trimmed.mdup.bam	12	371438948
WT	15	1	391835431	fucci-wt-single-f11-r1-c7_S105_.trimmed.mdup.bam	15	391835431
WT	9	1	352024727	fucci-wt-single-f7-r7-c4_S46_.trimmed.mdup.bam	9	352024727
BLM/RECQL5	11	1	371210076	blm-recq5-1-single-f14-r4-c7_S469_.trimmed.mdup.bam	11	371210076
RECQL5	11	1	354811185	recq5-2-single-f11-r2-c5_S306_.trimmed.mdup.bam	11	354811185
WT	13	1	355103439	fucci-wt-single-f7-r6-c7_S42_.trimmed.mdup.bam	13	355103439
BLM/RECQL5	12	1	373306576	blm-recq5-2-single-f12-r2-c7_S357_.trimmed.mdup.bam	12	373306576
RECQL5	16	1	354322441	recq5-2-single-f9-r3-c2_S212_.trimmed.mdup.bam	16	354322441
BLM/RECQL5	15	1	368529832	blm-recq5-2-single-f12-r1-c1_S344_.trimmed.mdup.bam	15	368529832
BLM/RECQL5	20	1	378991306	blm-recq5-1-single-f13-r1-c2_S394_.trimmed.mdup.bam	20	378991306
BLM/RECQL5	12	1	362517415	blm_recq5-2-single-c16-w19_.trimmed.mdup.bam	12	362517415
BLM/RECQL5	19	1	366423866	blm-recq5-1-single-f14-r4-c4_S466_.trimmed.mdup.bam	19	366423866
BLM/RECQL5	16	1	380240154	blm_recq5-2-single-c15-w8_.trimmed.mdup.bam	16	380240154
BLM/RECQL5	17	1	385182564	blm_recq5-2-single-c16-w38_.trimmed.mdup.bam	17	385182564
BLM/RECQL5	16	1	361973881	blm-recq5-1-single-f15-r6-c4_S529_.trimmed.mdup.bam	16	361973881
BLM/RECQL5	13	1	382940532	blm_recq5-2-single-c16-w6_.trimmed.mdup.bam	13	382940532
BLM/RECQL5	13	1	381237165	blm-recq5-1-single-c7-w14-3d6_S212_.trimmed.mdup.bam	13	381237165
WT	16	1	381279918	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam	16	381279918
WT	10	1	354349435	fucci-wt-single-f7-r2-c6_S13_.trimmed.mdup.bam	10	354349435
BLM/RECQL5	13	1	352219599	blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam	13	352219599
WT	11	1	352820526	fucci-wt-single-f11-r1-c2_S100_.trimmed.mdup.bam	11	352820526
WT	10	1	370662362	fucci-wt-single-f11-r6-c5_S138_.trimmed.mdup.bam	10	370662362
WT	15	1	355644707	fucci-wt-single-f11-r7-c6_S146_.trimmed.mdup.bam	15	355644707
WT	10	1	354459445	fucci-wt-single-f8-r7-c4_S95_.trimmed.mdup.bam	10	354459445
WT	12	1	357087067	fucci-wt-single-f11-r2-c6_S111_.trimmed.mdup.bam	12	357087067
RECQL5	15	1	356573134	recq5-2-single-f10-r5-c3_S276_.trimmed.mdup.bam	15	356573134
BLM/RECQL5	16	1	355045313	blm-recq5-2-single-f12-r3-c2_S359_.trimmed.mdup.bam	16	355045313
BLM/RECQL5	13	1	372422814	blm-recq5-2-single-f16-r7-c1_S582_.trimmed.mdup.bam	13	372422814
WT	14	1	354422358	fucci-wt-single-f8-r2-c6_S62_.trimmed.mdup.bam	14	354422358
WT	13	1	377865385	fucci-wt-single-f11-r4-c1_S120_.trimmed.mdup.bam	13	377865385
BLM/RECQL5	12	1	363022307	blm-recq5-2-single-c12-w39-3d6_S482_.trimmed.mdup.bam	12	363022307
WT	8	1	349546475	fucci-wt-single-f11-r5-c7_S133_.trimmed.mdup.bam	8	349546475
WT	11	1	360622408	fucci-wt-single-f7-r6-c1_S36_.trimmed.mdup.bam	11	360622408
BLM/RECQL5	17	1	351530762	blm-recq5-1-single-c11-w11-3d6_S405_.trimmed.mdup.bam	17	351530762
WT	12	1	360849262	fucci-wt-single-f11-r4-c2_S121_.trimmed.mdup.bam	12	360849262
WT	12	1	372389858	fucci-wt-single-f12-r6-c2_S184_.trimmed.mdup.bam	12	372389858
BLM/RECQL5	11	1	370545452	blm_recq5-2-single-c16-w29_.trimmed.mdup.bam	11	370545452
WT	12	1	353527289	fucci-wt-single-f7-r1-c4_S4_.trimmed.mdup.bam	12	353527289
BLM/RECQL5	14	1	369556720	blm_recq5-2-single-c16-w42_.trimmed.mdup.bam	14	369556720
WT	12	1	371333081	fucci-wt-single-f8-r3-c6_S69_.trimmed.mdup.bam	12	371333081
WT	12	1	352340867	fucci-wt-single-f8-r4-c5_S75_.trimmed.mdup.bam	12	352340867
WT	9	1	365440675	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam	9	365440675
WT	16	1	382713127	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam	16	382713127
RECQL5	20	1	380457879	recq5-2-single-f11-r3-c2_S310_.trimmed.mdup.bam	20	380457879
BLM/RECQL5	17	1	385742662	blm-recq5-1-single-f15-r1-c3_S493_.trimmed.mdup.bam	17	385742662
RECQL5	16	1	376251025	recq5-2-single-f10-r5-c4_S277_.trimmed.mdup.bam	16	376251025
WT	16	1	355616205	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam	16	355616205
BLM/RECQL5	19	1	377261068	blm-recq5-2-single-f8-r6-c2_S184_.trimmed.mdup.bam	19	377261068
WT	16	1	373622221	fucci-wt-single-f8-r5-c3_S80_.trimmed.mdup.bam	16	373622221
