ID	TD	ploidy	td_sum	file	norm_td	norm
BLM/RECQL5	16	1	307650423	blm_recq5-2-single-c15-w42_.trimmed.mdup.bam	16	307650423
RECQL5	9	1	330259387	recq5-2-single-f11-r4-c7_S322_.trimmed.mdup.bam	9	330259387
RECQL5	31	1	315365336	recq5-2-single-f11-r5-c2_S324_.trimmed.mdup.bam	31	315365336
BLM/RECQL5	31	1	314041851	blm-recq5-1-single-f14-r4-c6_S468_.trimmed.mdup.bam	31	314041851
BLM/RECQL5	22	1	300416400	blm-recq5-1-single-f15-r5-c4_S522_.trimmed.mdup.bam	22	300416400
BLM/RECQL5	19	1	288648400	blm-recq5-2-single-f16-r1-c5_S544_.trimmed.mdup.bam	19	288648400
BLM/RECQL5	30	1	305767256	blm-recq5-2-single-f16-r4-c4_S564_.trimmed.mdup.bam	30	305767256
BLM/RECQL5	34	1	316140973	blm_recq5-2-single-c15-w24_.trimmed.mdup.bam	34	316140973
BLM/RECQL5	34	1	255025421	blm_recq5-2-single-c15-w27_.trimmed.mdup.bam	34	255025421
BLM/RECQL5	29	1	278754860	blm-recq5-1-single-f14-r7-c6_S489_.trimmed.mdup.bam	29	278754860
BLM/RECQL5	21	1	308136940	blm-recq5-2-single-f16-r2-c1_S547_.trimmed.mdup.bam	21	308136940
WT	14	1	398473333	fucci-wt-single-f7-r5-c5_S33_.trimmed.mdup.bam	14	398473333
BLM/RECQL5	7	1	420295679	blm-recq5-2-single-f16-r5-c5_S572_.trimmed.mdup.bam	7	420295679
RECQL5	11	1	351177873	recq5-2-single-f9-r4-c2_S219_.trimmed.mdup.bam	11	351177873
BLM/RECQL5	10	1	576731198	blm_recq5-2-single-c16-w36_.trimmed.mdup.bam	10	576731198
BLM/RECQL5	21	1	316283574	blm_recq5-2-single-c16-w35_.trimmed.mdup.bam	21	316283574
BLM/RECQL5	13	1	360650981	blm-recq5-2-single-f16-r3-c6_S559_.trimmed.mdup.bam	13	360650981
BLM/RECQL5	14	1	351932669	blm_recq5-2-single-c16-w22_.trimmed.mdup.bam	14	351932669
BLM/RECQL5	12	1	365423777	blm-recq5-1-single-f14-r2-c6_S454_.trimmed.mdup.bam	12	365423777
BLM/RECQL5	9	1	353593475	blm-recq5-1-single-f14-r1-c4_S445_.trimmed.mdup.bam	9	353593475
BLM/RECQL5	9	1	339573603	blm-recq5-2-single-f16-r5-c7_S574_.trimmed.mdup.bam	9	339573603
BLM/RECQL5	15	1	331214521	blm-recq5-1-single-c11-w18-3d6_S412_.trimmed.mdup.bam	15	331214521
BLM/RECQL5	10	1	400575022	blm_recq5-1-single-c14-w19_.trimmed.mdup.bam	10	400575022
BLM/RECQL5	30	1	284728506	blm-recq5-1-single-f13-r3-c1_S407_.trimmed.mdup.bam	30	284728506
BLM/RECQL5	40	1	259185320	blm-recq5-1-single-f14-r2-c4_S452_.trimmed.mdup.bam	40	259185320
BLM/RECQL5	97	1	469897348	blm-recq5-1-single-f13-r1-c1_S393_.trimmed.mdup.bam	97	469897348
BLM/RECQL5	66	1	281613167	blm-recq5-1-single-f14-r6-c3_S479_.trimmed.mdup.bam	66	281613167
BLM/RECQL5	49	1	211395241	blm-recq5-1-single-f14-r5-c3_S472_.trimmed.mdup.bam	49	211395241
BLM/RECQL5	36	1	236200151	blm-recq5-2-single-f12-r4-c2_S366_.trimmed.mdup.bam	36	236200151
BLM/RECQL5	45	1	248282239	blm-recq5-1-single-f15-r4-c5_S516_.trimmed.mdup.bam	45	248282239
BLM/RECQL5	32	1	238681370	blm-recq5-1-single-f15-r4-c6_S517_.trimmed.mdup.bam	32	238681370
BLM/RECQL5	32	1	295389822	blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam	32	295389822
BLM/RECQL5	21	1	332645123	blm-recq5-1-single-f14-r6-c4_S480_.trimmed.mdup.bam	21	332645123
BLM/RECQL5	34	1	293712101	blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam	34	293712101
BLM/RECQL5	35	1	277797467	blm-recq5-1-single-f14-r1-c7_S448_.trimmed.mdup.bam	35	277797467
BLM/RECQL5	40	1	246187406	blm-recq5-1-single-f15-r3-c2_S506_.trimmed.mdup.bam	40	246187406
BLM	30	1	250342324	blm-1-single-f7-r5-c7_S133_.trimmed.mdup.bam	30	250342324
BLM/RECQL5	57	1	226254421	blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam	57	226254421
BLM/RECQL5	31	1	226549910	blm-recq5-1-single-f14-r4-c5_S467_.trimmed.mdup.bam	31	226549910
BLM/RECQL5	47	1	204107409	blm-recq5-1-single-f14-r1-c2_S443_.trimmed.mdup.bam	47	204107409
BLM/RECQL5	36	1	193564456	blm-recq5-1-single-f15-r1-c5_S495_.trimmed.mdup.bam	36	193564456
BLM	35	1	97926301	blm-1-single-f6-r2-c1_S57_.trimmed.mdup.bam	35	97926301
BLM	13	1	229192359	blm-1-single-c9-w33_.trimmed.mdup.bam	13	229192359
BLM	9	1	164847188	blm-1-single-c9-w44_.trimmed.mdup.bam	9	164847188
BLM/RECQL5	30	1	281422045	blm-recq5-1-single-f15-r6-c2_S527_.trimmed.mdup.bam	30	281422045
BLM	19	1	239240912	blm-1-single-f5-r4-c6_S27_.trimmed.mdup.bam	19	239240912
BLM	11	1	287662756	blm-1-single-f5-r6-c1_S36_.trimmed.mdup.bam	11	287662756
BLM/RECQL5	18	1	339273802	blm-recq5-1-single-c11-w22-3d6_S416_.trimmed.mdup.bam	18	339273802
BLM/RECQL5	21	1	321226436	blm-recq5-1-single-f15-r4-c1_S512_.trimmed.mdup.bam	21	321226436
BLM/RECQL5	22	1	294307800	blm_recq5-2-single-c16-w15_.trimmed.mdup.bam	22	294307800
BLM	17	1	275078739	blm-1-single-f7-r5-c5_S131_.trimmed.mdup.bam	17	275078739
BLM	12	1	383051797	blm-1-single-f7-r6-c2_S135_.trimmed.mdup.bam	12	383051797
BLM	12	1	276702505	blm-1-single-f7-r2-c6_S111_.trimmed.mdup.bam	12	276702505
BLM	16	1	310469398	blm-1-single-f7-r4-c4_S123_.trimmed.mdup.bam	16	310469398
BLM	9	1	283787396	blm-1-single-f5-r4-c7_S28_.trimmed.mdup.bam	9	283787396
BLM	14	1	309712533	blm-1-single-f7-r1-c1_S99_.trimmed.mdup.bam	14	309712533
BLM	13	1	287533800	blm-1-single-c9-w43-3d6_S339_.trimmed.mdup.bam	13	287533800
BLM	14	1	288987041	blm-1-single-f5-r6-c5_S40_.trimmed.mdup.bam	14	288987041
BLM	11	1	308777651	blm-1-single-c10-w19_.trimmed.mdup.bam	11	308777651
BLM	13	1	315791793	blm-1-single-f7-r4-c3_S122_.trimmed.mdup.bam	13	315791793
BLM	11	1	295439046	blm-1-single-c10-w11_.trimmed.mdup.bam	11	295439046
BLM	10	1	273076000	blm-1-single-c9-w31_.trimmed.mdup.bam	10	273076000
BLM	16	1	328818017	blm-1-single-f6-r6-c4_S88_.trimmed.mdup.bam	16	328818017
BLM	9	1	289462743	blm-1-single-f5-r1-c1_S1_.trimmed.mdup.bam	9	289462743
BLM	12	1	312212715	blm-1-single-f5-r1-c3_S3_.trimmed.mdup.bam	12	312212715
BLM	12	1	312686001	blm-1-single-f5-r1-c2_S2_.trimmed.mdup.bam	12	312686001
BLM	10	1	314052377	blm-1-single-f7-r6-c4_S137_.trimmed.mdup.bam	10	314052377
BLM	13	1	334093172	blm-1-single-f7-r5-c2_S128_.trimmed.mdup.bam	13	334093172
BLM	16	1	356022708	blm-1-single-f7-r6-c3_S136_.trimmed.mdup.bam	16	356022708
BLM	8	1	279368006	blm-1-single-c10-w38_.trimmed.mdup.bam	8	279368006
BLM/RECQL5	6	1	262960871	blm_recq5-2-single-c15-w15_.trimmed.mdup.bam	6	262960871
BLM	11	1	292570515	blm-1-single-c10-w30_.trimmed.mdup.bam	11	292570515
BLM	12	1	302028321	blm-1-single-f6-r1-c1_S50_.trimmed.mdup.bam	12	302028321
RECQL5	12	1	280416127	recq5-2-single-c6-w6-3d6_S155_.trimmed.mdup.bam	12	280416127
RECQL5	11	1	333580541	recq5-2-single-c12-w9_.trimmed.mdup.bam	11	333580541
RECQL5	9	1	302249718	recq5-2-single-c10-w45-3d6_S390_.trimmed.mdup.bam	9	302249718
RECQL5	9	1	281836297	recq5-2-single-c11-w37_.trimmed.mdup.bam	9	281836297
BLM	17	1	262108838	blm-1-single-c9-w15_.trimmed.mdup.bam	17	262108838
BLM/RECQL5	16	1	266822141	blm-recq5-1-single-f13-r7-c4_S438_.trimmed.mdup.bam	16	266822141
BLM/RECQL5	18	1	308802309	blm-recq5-1-single-f15-r7-c6_S538_.trimmed.mdup.bam	18	308802309
BLM	18	1	312793787	blm-1-single-c10-w34_.trimmed.mdup.bam	18	312793787
